,Driveline,Height
0,All-wheel drive,140
1,Front-wheel drive,140
2,Front-wheel drive,140
3,All-wheel drive,140
4,All-wheel drive,140
5,All-wheel drive,91
6,All-wheel drive,91
7,All-wheel drive,201
8,All-wheel drive,201
9,All-wheel drive,147
10,All-wheel drive,147
11,All-wheel drive,147
12,Front-wheel drive,172
13,All-wheel drive,172
14,All-wheel drive,226
15,All-wheel drive,226
16,All-wheel drive,148
17,All-wheel drive,148
18,Rear-wheel drive,112
19,Rear-wheel drive,112
20,Rear-wheel drive,120
21,Rear-wheel drive,112
22,Rear-wheel drive,112
23,Rear-wheel drive,120
24,Rear-wheel drive,112
25,Rear-wheel drive,112
26,Rear-wheel drive,120
27,Rear-wheel drive,77
28,All-wheel drive,77
29,Rear-wheel drive,77
30,All-wheel drive,77
31,Rear-wheel drive,22
32,Rear-wheel drive,22
33,Rear-wheel drive,24
34,All-wheel drive,24
35,Rear-wheel drive,77
36,Rear-wheel drive,82
37,Rear-wheel drive,85
38,Rear-wheel drive,85
39,Rear-wheel drive,77
40,Rear-wheel drive,82
41,Rear-wheel drive,43
42,Rear-wheel drive,35
43,Rear-wheel drive,35
44,Front-wheel drive,167
45,Front-wheel drive,167
46,Front-wheel drive,167
47,Front-wheel drive,167
48,Rear-wheel drive,193
49,All-wheel drive,99
50,All-wheel drive,110
51,All-wheel drive,99
52,All-wheel drive,99
53,All-wheel drive,118
54,All-wheel drive,108
55,All-wheel drive,185
56,All-wheel drive,185
57,All-wheel drive,195
58,Front-wheel drive,120
59,Front-wheel drive,119
60,Front-wheel drive,119
61,Front-wheel drive,172
62,Front-wheel drive,172
63,Front-wheel drive,172
64,All-wheel drive,190
65,Front-wheel drive,203
66,All-wheel drive,203
67,All-wheel drive,203
68,All-wheel drive,203
69,Front-wheel drive,213
70,All-wheel drive,213
71,All-wheel drive,213
72,Front-wheel drive,213
73,Front-wheel drive,177
74,All-wheel drive,193
75,Front-wheel drive,177
76,All-wheel drive,175
77,Front-wheel drive,175
78,All-wheel drive,175
79,Front-wheel drive,175
80,Front-wheel drive,66
81,All-wheel drive,66
82,All-wheel drive,66
83,All-wheel drive,66
84,Rear-wheel drive,24
85,Four-wheel drive,24
86,Four-wheel drive,93
87,Rear-wheel drive,24
88,Four-wheel drive,24
89,Front-wheel drive,247
90,All-wheel drive,247
91,Front-wheel drive,247
92,All-wheel drive,247
93,Front-wheel drive,10
94,Rear-wheel drive,24
95,Rear-wheel drive,24
96,Four-wheel drive,24
97,Four-wheel drive,93
98,Rear-wheel drive,24
99,Four-wheel drive,24
100,Front-wheel drive,143
101,Front-wheel drive,152
102,Front-wheel drive,152
103,Front-wheel drive,152
104,Front-wheel drive,152
105,Front-wheel drive,152
106,Front-wheel drive,152
107,Front-wheel drive,152
108,Front-wheel drive,152
109,Rear-wheel drive,45
110,Rear-wheel drive,45
111,Rear-wheel drive,45
112,Rear-wheel drive,45
113,Rear-wheel drive,45
114,Rear-wheel drive,45
115,Rear-wheel drive,45
116,Rear-wheel drive,45
117,Front-wheel drive,143
118,Rear-wheel drive,35
119,Rear-wheel drive,35
120,Rear-wheel drive,35
121,Rear-wheel drive,35
122,Front-wheel drive,143
123,Rear-wheel drive,35
124,Rear-wheel drive,35
125,Rear-wheel drive,35
126,Rear-wheel drive,35
127,All-wheel drive,147
128,All-wheel drive,147
129,All-wheel drive,147
130,All-wheel drive,147
131,Front-wheel drive,193
132,Front-wheel drive,193
133,Front-wheel drive,193
134,Front-wheel drive,193
135,Front-wheel drive,193
136,Front-wheel drive,193
137,Front-wheel drive,167
138,Front-wheel drive,167
139,Front-wheel drive,167
140,Front-wheel drive,167
141,All-wheel drive,147
142,All-wheel drive,147
143,Front-wheel drive,172
144,All-wheel drive,190
145,All-wheel drive,156
146,All-wheel drive,156
147,All-wheel drive,155
148,Front-wheel drive,152
149,Front-wheel drive,152
150,Front-wheel drive,152
151,Front-wheel drive,152
152,Front-wheel drive,152
153,Front-wheel drive,152
154,Front-wheel drive,152
155,Front-wheel drive,193
156,Front-wheel drive,193
157,Front-wheel drive,193
158,Front-wheel drive,193
159,Front-wheel drive,58
160,Front-wheel drive,195
161,Front-wheel drive,195
162,Front-wheel drive,195
163,Front-wheel drive,195
164,Front-wheel drive,195
165,Front-wheel drive,195
166,Front-wheel drive,195
167,Front-wheel drive,195
168,Front-wheel drive,206
169,Front-wheel drive,206
170,Rear-wheel drive,35
171,Rear-wheel drive,35
172,Rear-wheel drive,35
173,Rear-wheel drive,35
174,Front-wheel drive,205
175,Front-wheel drive,206
176,Front-wheel drive,206
177,Front-wheel drive,191
178,Front-wheel drive,191
179,Front-wheel drive,191
180,Front-wheel drive,191
181,Front-wheel drive,191
182,Front-wheel drive,186
183,Front-wheel drive,186
184,Front-wheel drive,186
185,Front-wheel drive,191
186,Front-wheel drive,191
187,Front-wheel drive,185
188,Front-wheel drive,185
189,Front-wheel drive,208
190,Front-wheel drive,208
191,Front-wheel drive,208
